	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EYG8|A0A0P0EYG8_AZOBR	CARA_BRADURecName: Full=Carbamoyl-phosphate synthase small chain; AltName: Full=Carbamoyl-phosphate synthetase glutamine chain	391	20	2.56788E-180	74.31	8	F:GO:0000166; F:GO:0004088; C:GO:0005951; P:GO:0006207; P:GO:0006221; P:GO:0006526; P:GO:0070409; P:GO:0071230	F:nucleotide binding; F:carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity; C:carbamoyl-phosphate synthase complex; P:'de novo' pyrimidine nucleobase biosynthetic process; P:pyrimidine nucleotide biosynthetic process; P:arginine biosynthetic process; P:carbamoyl phosphate biosynthetic process; P:cellular response to amino acid stimulus	EC:6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)			
true	[BLASTED, MAPPED]	tr|A0A0P0F814|A0A0P0F814_AZOBR	AMCY_PARDERecName: Full=Amicyanin; Flags: Precursor	108	12	1.22053E-13	52.34	10	F:GO:0005507; F:GO:0005515; F:GO:0009055; C:GO:0009579; C:GO:0016020; P:GO:0022900; C:GO:0042597; C:GO:0042651; F:GO:0046872; P:GO:0055114	F:copper ion binding; F:protein binding; F:electron transfer activity; C:thylakoid; C:membrane; P:electron transport chain; C:periplasmic space; C:thylakoid membrane; F:metal ion binding; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EZP3|A0A0P0EZP3_AZOBR	TRAP transporter small permease	169	20	2.38657E-117	78.43	1	C:GO:0016021	C:integral component of membrane					
true	[NO-BLAST]	tr|A0A0P0F3C2|A0A0P0F3C2_AZOBR	---NA---	720											
true	[NO-BLAST]	tr|A0A0P0FAX0|A0A0P0FAX0_AZOBR	---NA---	113											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERN3|A0A0P0ERN3_AZOBR	chemotaxis protein	368	20	0.0	93.61	4	F:GO:0004888; P:GO:0006935; P:GO:0007165; C:GO:0016020	F:transmembrane signaling receptor activity; P:chemotaxis; P:signal transduction; C:membrane					
true	[BLASTED]	tr|A0A0P0F2L3|A0A0P0F2L3_AZOBR	formate dehydrogenase	76	20	1.92557E-49	81.42								
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EEI3|A0A0P0EEI3_AZOBR	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	254	20	0.0	95.82	3	P:GO:0000105; F:GO:0003949; C:GO:0005737	P:histidine biosynthetic process; F:1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity; C:cytoplasm	EC:5.3.1.16	1-(5-phosphoribosyl)-5-			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EX03|A0A0P0EX03_AZOBR	ammonia monooxygenase	353	20	0.0	81.29	4	F:GO:0004497; P:GO:0010468; C:GO:0016021; P:GO:0055114	F:monooxygenase activity; P:regulation of gene expression; C:integral component of membrane; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F0M9|A0A0P0F0M9_AZOBR	USG_CAUVCRecName: Full=Protein usg	87	1	1.08946E-29	71.95	1	P:GO:0009073	P:aromatic amino acid family biosynthetic process					
true	[NO-BLAST]	tr|A0A0P0FCX2|A0A0P0FCX2_AZOBR	---NA---	340											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F8E4|A0A0P0F8E4_AZOBR	MURA_RHOCSRecName: Full=UDP-N-acetylglucosamine 1-carboxyvinyltransferase; AltName: Full=Enoylpyruvate transferase; AltName: Full=UDP-N-acetylglucosamine enolpyruvyl transferase; Short=EPT	430	20	0.0	76.56	8	C:GO:0005737; P:GO:0007049; P:GO:0008360; F:GO:0008760; P:GO:0009252; P:GO:0019277; P:GO:0051301; P:GO:0071555	C:cytoplasm; P:cell cycle; P:regulation of cell shape; F:UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity; P:peptidoglycan biosynthetic process; P:UDP-N-acetylgalactosamine biosynthetic process; P:cell division; P:cell wall organization	EC:2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase			
true	[BLASTED, MAPPED]	tr|A0A0N7I8L5|A0A0N7I8L5_AZOBR	QUEF_NITOCRecName: Full=NADPH-dependent 7-cyano-7-deazaguanine reductase; AltName: Full=7-cyano-7-carbaguanine reductase; AltName: Full=NADPH-dependent nitrile oxidoreductase; AltName: Full=PreQ(0) reductase	120	2	3.52357E-9	45.11	6	C:GO:0005737; P:GO:0008616; F:GO:0016491; F:GO:0033739; F:GO:0046857; P:GO:0055114	C:cytoplasm; P:queuosine biosynthetic process; F:oxidoreductase activity; F:preQ1 synthase activity; F:oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EKS3|A0A0P0EKS3_AZOBR	arylsulfatase	570	20	0.0	75.04	1	F:GO:0004065	F:arylsulfatase activity	EC:3.1.6.1	Arylsulfatase			
true	[NO-BLAST]	tr|A0A0P0EAC1|A0A0P0EAC1_AZOBR	---NA---	865											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EE92|A0A0P0EE92_AZOBR	PIPB2_SALTIRecName: Full=Secreted effector protein PipB2; AltName: Full=Type III effector PipB2	454	13	1.32352E-25	49.19	1	F:GO:0005488	F:binding					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I7J2|A0A0N7I7J2_AZOBR	FTSI_CAUVNRecName: Full=Probable peptidoglycan D,D-transpeptidase FtsI; AltName: Full=Penicillin-binding protein 3; Short=PBP-3	601	20	2.43356E-127	46.61	6	F:GO:0005488; C:GO:0005886; F:GO:0008233; F:GO:0016740; C:GO:0031224; P:GO:0051301	F:binding; C:plasma membrane; F:peptidase activity; F:transferase activity; C:intrinsic component of membrane; P:cell division					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EWE0|A0A0P0EWE0_AZOBR	TIGR00730 family Rossman fold protein	192	20	9.13103E-138	81.94	2	P:GO:0009691; F:GO:0016787	P:cytokinin biosynthetic process; F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EXC9|A0A0P0EXC9_AZOBR	DNA-binding protein	203	20	6.85578E-144	71.96	2	F:GO:0003677; P:GO:0006355	F:DNA binding; P:regulation of transcription, DNA-templated					
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EYV3|A0A0P0EYV3_AZOBR	HlyD family secretion protein	367	20	0.0	92.3	3	F:GO:0005215; C:GO:0016020; P:GO:0055085	F:transporter activity; C:membrane; P:transmembrane transport					
true	[NO-BLAST]	tr|A0A0P0FG89|A0A0P0FG89_AZOBR	---NA---	470											
true	[NO-BLAST]	tr|A0A0P0F5U5|A0A0P0F5U5_AZOBR	---NA---	130											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F9B7|A0A0P0F9B7_AZOBR	YGEA_ECOLIRecName: Full=Putative racemase YgeA	242	1	4.51014E-64	64.63	2	F:GO:0005515; F:GO:0047661	F:protein binding; F:amino-acid racemase activity	EC:5.1.1.10	Amino-acid racemase			
true	[NO-BLAST]	tr|A0A0P0FAG2|A0A0P0FAG2_AZOBR	---NA---	533											
true	[NO-BLAST]	tr|A0A0P0FFU6|A0A0P0FFU6_AZOBR	---NA---	100											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0FHB1|A0A0P0FHB1_AZOBR	CSPA_ECOLIRecName: Full=Cold shock protein CspA; Short=CSP-A; AltName: Full=7.4 kDa cold shock protein; AltName: Full=CS7.4	177	20	1.3402E-14	59.8	7	F:GO:0001072; F:GO:0003697; C:GO:0005829; F:GO:0008143; P:GO:0009409; F:GO:0051087; P:GO:0060567	F:transcription antitermination factor activity, RNA binding; F:single-stranded DNA binding; C:cytosol; F:poly(A) binding; P:response to cold; F:chaperone binding; P:negative regulation of DNA-templated transcription, termination					
true	[BLASTED, MAPPED]	tr|A0A0P0ESU4|A0A0P0ESU4_AZOBR	FLBA_CAUCRRecName: Full=Protein FlbA	554	3	9.11989E-21	45.65	9	F:GO:0000166; F:GO:0004016; F:GO:0005524; P:GO:0006171; P:GO:0009190; F:GO:0016829; F:GO:0016849; P:GO:0035556; P:GO:0044781	F:nucleotide binding; F:adenylate cyclase activity; F:ATP binding; P:cAMP biosynthetic process; P:cyclic nucleotide biosynthetic process; F:lyase activity; F:phosphorus-oxygen lyase activity; P:intracellular signal transduction; P:bacterial-type flagellum organization					
true	[NO-BLAST]	tr|A0A0P0F557|A0A0P0F557_AZOBR	---NA---	158											
true	[NO-BLAST]	tr|A0A0P0F6S8|A0A0P0F6S8_AZOBR	---NA---	321											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F256|A0A0P0F256_AZOBR	cytochrome c family protein	127	20	3.03274E-86	79.98	4	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding					
true	[NO-BLAST]	tr|A0A0P0F4C4|A0A0P0F4C4_AZOBR	---NA---	403											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F6Q4|A0A0P0F6Q4_AZOBR	lactoylglutathione lyase	131	20	1.65953E-91	89.01	4	F:GO:0004462; F:GO:0046872; F:GO:0051213; P:GO:0055114	F:lactoylglutathione lyase activity; F:metal ion binding; F:dioxygenase activity; P:oxidation-reduction process	EC:4.4.1.5	Lactoylglutathione lyase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F6T6|A0A0P0F6T6_AZOBR	asparagine synthase (glutamine-hydrolyzing)	655	20	0.0	85.28	4	F:GO:0004066; F:GO:0005524; P:GO:0006529; P:GO:0006541	F:asparagine synthase (glutamine-hydrolyzing) activity; F:ATP binding; P:asparagine biosynthetic process; P:glutamine metabolic process	EC:6.3.5.4	Asparagine synthase (glutamine-hydrolyzing)			
true	[NO-BLAST]	tr|A0A0P0EGI8|A0A0P0EGI8_AZOBR	---NA---	296											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EI95|A0A0P0EI95_AZOBR	LOVHK_PSEU2RecName: Full=Blue-light-activated protein; Includes: RecName: Full=Blue-light-activated histidine kinase; Includes: RecName: Full=Response regulator	994	20	4.54844E-53	49.56	4	P:GO:0000160; F:GO:0004673; P:GO:0018106; F:GO:0043167	P:phosphorelay signal transduction system; F:protein histidine kinase activity; P:peptidyl-histidine phosphorylation; F:ion binding	EC:2.7.13.3	Histidine kinase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ETQ9|A0A0P0ETQ9_AZOBR	NIRS_PSESTRecName: Full=Nitrite reductase; AltName: Full=Cytochrome cd1; AltName: Full=Cytochrome oxidase; AltName: Full=Hydroxylamine reductase; Flags: Precursor	546	6	0.0	64.32	7	F:GO:0009055; F:GO:0020037; P:GO:0022900; C:GO:0042597; F:GO:0046872; F:GO:0050418; F:GO:0050421	F:electron transfer activity; F:heme binding; P:electron transport chain; C:periplasmic space; F:metal ion binding; F:hydroxylamine reductase activity; F:nitrite reductase (NO-forming) activity	EC:1.7.99.1; EC:1.7.2.1	Hydroxylamine reductase; Nitrite reductase (NO-forming)			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F7E6|A0A0P0F7E6_AZOBR	alpha/beta hydrolase	282	20	0.0	82.97	1	F:GO:0016787	F:hydrolase activity					
true	[NO-BLAST]	tr|A0A0P0F7V6|A0A0P0F7V6_AZOBR	---NA---	232											
true	[NO-BLAST]	tr|A0A0P0FCJ0|A0A0P0FCJ0_AZOBR	---NA---	574											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0E7X0|A0A0P0E7X0_AZOBR	heme biosynthesis protein HemY	469	20	0.0	88.34	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	tr|A0A0P0EZV5|A0A0P0EZV5_AZOBR	Y4HP_RHISNRecName: Full=Uncharacterized protein y4hP	548	4	7.4718E-115	57.57								
true	[NO-BLAST]	tr|A0A0P0F995|A0A0P0F995_AZOBR	---NA---	95											
true	[NO-BLAST]	tr|A0A0P0ECS5|A0A0P0ECS5_AZOBR	---NA---	130											
true	[NO-BLAST]	tr|A0A0P0EMY2|A0A0P0EMY2_AZOBR	---NA---	95											
true	[NO-BLAST]	tr|A0A0P0ETD6|A0A0P0ETD6_AZOBR	---NA---	337											
true	[NO-BLAST]	tr|A0A0P0EWF7|A0A0P0EWF7_AZOBR	---NA---	134											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F4G2|A0A0P0F4G2_AZOBR	nitrate reductase	104	20	2.03987E-66	79.59	3	F:GO:0005048; C:GO:0005737; P:GO:0051224	F:signal sequence binding; C:cytoplasm; P:negative regulation of protein transport					
true	[NO-BLAST]	tr|A0A0P0F5Q2|A0A0P0F5Q2_AZOBR	---NA---	390											
true	[NO-BLAST]	tr|A0A0P0F8Y9|A0A0P0F8Y9_AZOBR	---NA---	225											
true	[NO-BLAST]	tr|A0A0P0FF76|A0A0P0FF76_AZOBR	---NA---	80											
true	[NO-BLAST]	tr|A0A0P0FG80|A0A0P0FG80_AZOBR	---NA---	70											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ET60|A0A0P0ET60_AZOBR	3'(2'),5'-bisphosphate nucleotidase	257	20	0.0	92.28	6	F:GO:0000287; C:GO:0005886; P:GO:0006790; F:GO:0008441; P:GO:0016311; P:GO:0046854	F:magnesium ion binding; C:plasma membrane; P:sulfur compound metabolic process; F:3'(2'),5'-bisphosphate nucleotidase activity; P:dephosphorylation; P:phosphatidylinositol phosphorylation	EC:3.1.3.7; EC:3.1.3.41; EC:3.1.3.31	3'(2'),5'-bisphosphate nucleotidase; 4-nitrophenylphosphatase; Nucleotidase			
true	[NO-BLAST]	tr|A0A0N7I7S8|A0A0N7I7S8_AZOBR	---NA---	277											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0N7I8U4|A0A0N7I8U4_AZOBR	formylmethanofuran--tetrahydromethanopterin N-formyltransferase	299	20	0.0	86.63	4	C:GO:0005737; P:GO:0006730; F:GO:0030270; P:GO:0046294	C:cytoplasm; P:one-carbon metabolic process; F:formylmethanofuran-tetrahydromethanopterin N-formyltransferase activity; P:formaldehyde catabolic process	EC:2.3.1.101	Formylmethanofuran--tetrahydromethanopterin N-formyltransferase			
true	[NO-BLAST]	tr|A0A0P0EUC4|A0A0P0EUC4_AZOBR	---NA---	81											
true	[NO-BLAST]	tr|A0A0P0F5Z1|A0A0P0F5Z1_AZOBR	---NA---	71											
true	[NO-BLAST]	tr|A0A0P0F7Z4|A0A0P0F7Z4_AZOBR	---NA---	320											
true	[NO-BLAST]	tr|A0A0P0F4K3|A0A0P0F4K3_AZOBR	---NA---	501											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EHX5|A0A0P0EHX5_AZOBR	MoxR family ATPase	307	20	0.0	97.0	2	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATPase activity	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase			
true	[BLASTED]	tr|A0A0P0ENL0|A0A0P0ENL0_AZOBR	urea ABC transporter substrate-binding protein	439	20	0.0	96.74								
true	[NO-BLAST]	tr|A0A0P0F2T2|A0A0P0F2T2_AZOBR	---NA---	168											
true	[NO-BLAST]	tr|A0A0N7I8Z0|A0A0N7I8Z0_AZOBR	---NA---	123											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EEW9|A0A0P0EEW9_AZOBR	chemotaxis protein	563	20	0.0	85.21	4	F:GO:0004888; P:GO:0006935; P:GO:0007165; C:GO:0016021	F:transmembrane signaling receptor activity; P:chemotaxis; P:signal transduction; C:integral component of membrane					
true	[NO-BLAST]	tr|A0A0P0EXX8|A0A0P0EXX8_AZOBR	---NA---	158											
true	[NO-BLAST]	tr|A0A0N7I966|A0A0N7I966_AZOBR	---NA---	69											
true	[NO-BLAST]	tr|A0A0P0EIQ7|A0A0P0EIQ7_AZOBR	---NA---	366											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EVJ7|A0A0P0EVJ7_AZOBR	monofunctional biosynthetic peptidoglycan transglycosylase	228	20	7.94752E-163	91.17	8	C:GO:0005886; P:GO:0008360; F:GO:0008955; P:GO:0009252; C:GO:0009274; C:GO:0016021; F:GO:0016763; P:GO:0071555	C:plasma membrane; P:regulation of cell shape; F:peptidoglycan glycosyltransferase activity; P:peptidoglycan biosynthetic process; C:peptidoglycan-based cell wall; C:integral component of membrane; F:transferase activity, transferring pentosyl groups; P:cell wall organization	EC:2.4.1.129	Peptidoglycan glycosyltransferase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F856|A0A0P0F856_AZOBR	NO-inducible flavohemoprotein	408	20	0.0	82.06	9	F:GO:0005344; F:GO:0008941; P:GO:0015671; F:GO:0019825; F:GO:0020037; F:GO:0046872; P:GO:0051409; P:GO:0055114; F:GO:0071949	F:oxygen carrier activity; F:nitric oxide dioxygenase activity; P:oxygen transport; F:oxygen binding; F:heme binding; F:metal ion binding; P:response to nitrosative stress; P:oxidation-reduction process; F:FAD binding	EC:1.14.12; EC:1.14.12.17	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2); Nitric oxide dioxygenase			
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0ERG9|A0A0P0ERG9_AZOBR	OHR_XANACRecName: Full=Organic hydroperoxide resistance protein	139	18	2.01002E-52	57.96	5	C:GO:0005737; P:GO:0006979; F:GO:0016209; F:GO:0016684; P:GO:0042221	C:cytoplasm; P:response to oxidative stress; F:antioxidant activity; F:oxidoreductase activity, acting on peroxide as acceptor; P:response to chemical					
true	[NO-BLAST]	tr|A0A0P0F6V5|A0A0P0F6V5_AZOBR	---NA---	144											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EVG1|A0A0P0EVG1_AZOBR	imidazole glycerol phosphate synthase subunit HisF	261	20	0.0	96.53	4	P:GO:0000105; F:GO:0000107; C:GO:0005737; F:GO:0016833	P:histidine biosynthetic process; F:imidazoleglycerol-phosphate synthase activity; C:cytoplasm; F:oxo-acid-lyase activity					
true	[NO-BLAST]	tr|A0A0P0ESG7|A0A0P0ESG7_AZOBR	---NA---	217											
true	[NO-BLAST]	tr|A0A0P0EGB5|A0A0P0EGB5_AZOBR	---NA---	293											
true	[NO-BLAST]	tr|A0A0P0EX17|A0A0P0EX17_AZOBR	---NA---	189											
true	[BLASTED, MAPPED]	tr|A0A0P0F8A8|A0A0P0F8A8_AZOBR	YAJC_BRUMERecName: Full=Sec translocon accessory complex subunit YajC; AltName: Full=Immunogenic membrane protein YajC	123	1	3.54254E-5	74.67	4	C:GO:0005886; P:GO:0015031; C:GO:0016020; C:GO:0016021	C:plasma membrane; P:protein transport; C:membrane; C:integral component of membrane					
true	[NO-BLAST]	tr|A0A0P0FCV3|A0A0P0FCV3_AZOBR	---NA---	340											
true	[NO-BLAST]	tr|A0A0P0FG47|A0A0P0FG47_AZOBR	---NA---	386											
true	[NO-BLAST]	tr|A0A0P0ESY1|A0A0P0ESY1_AZOBR	---NA---	202											
true	[NO-BLAST]	tr|A0A0N7I7E4|A0A0N7I7E4_AZOBR	---NA---	272											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0EKW2|A0A0P0EKW2_AZOBR	YXNA_BACSURecName: Full=Uncharacterized oxidoreductase YxnA	327	20	6.71161E-20	47.51	1	C:GO:0071944	C:cell periphery					
true	[NO-BLAST]	tr|A0A0N7I7Q0|A0A0N7I7Q0_AZOBR	---NA---	242											
true	[NO-BLAST]	tr|A0A0P0EJ08|A0A0P0EJ08_AZOBR	---NA---	390											
true	[BLASTED, MAPPED]	tr|A0A0P0EKK4|A0A0P0EKK4_AZOBR	COTR_BACSURecName: Full=Putative sporulation hydrolase CotR	335	1	7.63587E-9	44.55	5	P:GO:0006629; P:GO:0016042; F:GO:0016787; P:GO:0030435; C:GO:0031160	P:lipid metabolic process; P:lipid catabolic process; F:hydrolase activity; P:sporulation resulting in formation of a cellular spore; C:spore wall					
true	[NO-BLAST]	tr|A0A0P0ESI3|A0A0P0ESI3_AZOBR	---NA---	109											
true	[BLASTED, MAPPED, ANNOTATED]	tr|A0A0P0F2D5|A0A0P0F2D5_AZOBR	gluconokinase	183	20	3.54616E-129	82.7	4	F:GO:0005524; P:GO:0005975; P:GO:0016310; F:GO:0046316	F:ATP binding; P:carbohydrate metabolic process; P:phosphorylation; F:gluconokinase activity	EC:2.7.1.12	Gluconokinase			
true	[BLASTED]	tr|A0A0P0F5K1|A0A0P0F5K1_AZOBR	YZ2R_AGRVIRecName: Full=Uncharacterized 52.8 kDa protein in TAR-I ttuC' 3'region; AltName: Full=ORFZ2	508	2	9.78039E-91	61.91								
true	[BLASTED]	tr|A0A0P0F7X6|A0A0P0F7X6_AZOBR	ABC transporter substrate-binding protein	409	20	0.0	84.39								
