#Accession	Name	No_orfs	Coverage	Abundance	Description
COG0089	RplW	1	1	0.00023	Ribosomal protein L23
COG0090	RplB	1	0.996363	0.000229	Ribosomal protein L2
COG0091	RplV	1	0.9	0.000207	Ribosomal protein L22
COG0092	RpsC	1	0.918454	0.000211	Ribosomal protein S3
COG0093	RplN	1	1	0.00023	Ribosomal protein L14
COG0094	RplE	1	0.983333	0.000226	Ribosomal protein L5
COG0096	RpsH	1	1	0.00023	Ribosomal protein S8
COG0097	RplF	1	0.988764	0.000227	Ribosomal protein L6P/L9E
COG0098	RpsE	1	0.895027	0.000206	Ribosomal protein S5
COG0099	RpsM	1	1	0.00023	Ribosomal protein S13
COG0100	RpsK	1	1	0.00023	Ribosomal protein S11
COG0101	TruA	1	0.917293	0.000211	Pseudouridylate synthase
COG0102	RplM	1	1	0.00023	Ribosomal protein L13
COG0103	RpsI	1	0.992307	0.000228	Ribosomal protein S9
COG0104	PurA	1	1	0.00023	Adenylosuccinate synthase
COG0105	Ndk	1	0.992592	0.000228	Nucleoside diphosphate kinase
COG0106	HisA	1	0.979253	0.000225	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	HisF	1	0.996093	0.000229	Imidazoleglycerol-phosphate synthase
COG0108	RibB	3	2.197044	0.000506	3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0109	CyoE	1	0.904605	0.000208	Polyprenyltransferase (cytochrome oxidase assembly factor)
COG0110	WbbJ	1	0.678947	0.000156	Acetyltransferase (isoleucine patch superfamily)
COG0111	SerA	3	2.824074	0.00065	Phosphoglycerate dehydrogenase and related dehydrogenases
COG0112	GlyA	1	0.997578	0.000229	Glycine/serine hydroxymethyltransferase
COG0113	HemB	1	0.987878	0.000227	Delta-aminolevulinic acid dehydratase
COG0114	FumC	1	1	0.00023	Fumarase
COG0115	IlvE	4	3.947183	0.000909	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0116	COG0116	1	0.900262	0.000207	Predicted N6-adenine-specific DNA methylase
COG0117	RibD	1	0.842465	0.000194	Pyrimidine deaminase
COG0118	HisH	1	0.995098	0.000229	Glutamine amidotransferase
COG0119	LeuA	4	3.594132	0.000828	Isopropylmalate/homocitrate/citramalate synthases
COG0121	COG0121	1	0.980158	0.000225	Predicted glutamine amidotransferase
COG0122	AlkA	1	0.750877	0.000173	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0123	AcuC	4	3.697058	0.000852	Deacetylases, including yeast histone deacetylase and acetoin utilization protein
COG0124	HisS	1	0.995337	0.000229	Histidyl-tRNA synthetase
COG0125	Tmk	1	0.990384	0.000228	Thymidylate kinase
COG0126	Pgk	1	0.994936	0.000229	3-phosphoglycerate kinase
COG0127	COG0127	1	0.958762	0.00022	Xanthosine triphosphate pyrophosphatase
COG0128	AroA	1	0.976635	0.000225	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	IlvD	3	2.96	0.000682	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	TruB	1	0.996309	0.000229	Pseudouridine synthase
COG0131	HisB	1	0.984615	0.000226	Imidazoleglycerol-phosphate dehydratase
COG0132	BioD	1	0.968609	0.000223	Dethiobiotin synthetase
COG0133	TrpB	1	0.992424	0.000228	Tryptophan synthase beta chain
COG0134	TrpC	1	1	0.00023	Indole-3-glycerol phosphate synthase
COG0135	TrpF	1	0.971153	0.000223	Phosphoribosylanthranilate isomerase
COG0136	Asd	2	1.988023	0.000458	Aspartate-semialdehyde dehydrogenase
COG0137	ArgG	1	0.987593	0.000227	Argininosuccinate synthase
COG0138	PurH	2	1.102912	0.000254	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
COG0139	HisI	1	0.963963	0.000222	Phosphoribosyl-AMP cyclohydrolase
COG0140	HisI	1	0.98913	0.000227	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	HisD	1	0.988235	0.000227	Histidinol dehydrogenase
COG0142	IspA	2	1.863354	0.000429	Geranylgeranyl pyrophosphate synthase
COG0143	MetG	1	0.98387	0.000226	Methionyl-tRNA synthetase
COG0144	Sun	2	1.836619	0.000423	tRNA and rRNA cytosine-C5-methylases
COG0145	HyuA	2	1.991097	0.000458	N-methylhydantoinase A/acetone carboxylase, beta subunit
COG0146	HyuB	2	1.907637	0.000439	N-methylhydantoinase B/acetone carboxylase, alpha subunit
COG0147	TrpE	3	2.980519	0.000686	Anthranilate/para-aminobenzoate synthases component I
COG0148	Eno	3	2.929078	0.000675	Enolase
COG0149	TpiA	1	0.984063	0.000226	Triosephosphate isomerase
COG0150	PurM	1	0.962318	0.000221	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	PurD	1	0.99299	0.000228	Phosphoribosylamine-glycine ligase
COG0152	PurC	2	1.959514	0.000451	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase
COG0154	GatA	9	8.606315	0.001983	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases
COG0155	CysI	2	1.890196	0.000435	Sulfite reductase, beta subunit (hemoprotein)
COG0156	BioF	3	2.984536	0.000687	7-keto-8-aminopelargonate synthetase and related enzymes
COG0157	NadC	2	1.860714	0.000428	Nicotinate-nucleotide pyrophosphorylase
COG0159	TrpA	1	0.988679	0.000227	Tryptophan synthase alpha chain
COG0160	GabT	1	0.964205	0.000222	4-aminobutyrate aminotransferase and related aminotransferases
COG0161	BioA	3	2.955456	0.000681	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0162	TyrS	2	1.987531	0.000458	Tyrosyl-tRNA synthetase
COG0163	UbiX	1	0.984293	0.000226	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0164	RnhB	1	0.929648	0.000214	Ribonuclease HII
COG0165	ArgH	1	0.986928	0.000227	Argininosuccinate lyase
COG0166	Pgi	1	0.995515	0.000229	Glucose-6-phosphate isomerase
COG0167	PyrD	1	0.993548	0.000228	Dihydroorotate dehydrogenase
COG0168	TrkG	2	1.913827	0.000441	Trk-type K+ transport systems, membrane components
COG0169	AroE	1	0.985865	0.000227	Shikimate 5-dehydrogenase
COG0171	NadE	3	2.921641	0.000673	NAD synthase
COG0172	SerS	2	1.703962	0.000392	Seryl-tRNA synthetase
COG0173	AspS	1	0.994871	0.000229	Aspartyl-tRNA synthetase
COG0174	GlnA	2	1.975169	0.000455	Glutamine synthetase
COG0175	CysH	3	2.681992	0.000618	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes
COG0176	MipB	1	0.966527	0.000222	Transaldolase
COG0177	Nth	3	2.763033	0.000636	Predicted EndoIII-related endonuclease
COG0178	UvrA	1	0.99893	0.00023	Excinuclease ATPase subunit
COG0179	MhpD	3	2.740601	0.000631	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
COG0180	TrpS	1	0.980891	0.000226	Tryptophanyl-tRNA synthetase
COG0181	HemC	2	1.856677	0.000427	Porphobilinogen deaminase
COG0182	COG0182	1	0.950867	0.000219	Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family
COG0183	PaaJ	6	5.844387	0.001347	Acetyl-CoA acetyltransferase
COG0184	RpsO	1	1	0.00023	Ribosomal protein S15P/S13E
COG0185	RpsS	1	1	0.00023	Ribosomal protein S19
COG0186	RpsQ	1	0.850574	0.000196	Ribosomal protein S17
COG0187	GyrB	2	1.99685	0.00046	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit
COG0188	GyrA	2	1.920398	0.000442	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit
COG0189	RimK	3	2.672955	0.000616	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)
COG0190	FolD	1	0.964664	0.000222	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
COG0191	Fba	1	0.975524	0.000224	Fructose/tagatose bisphosphate aldolase
COG0192	MetK	1	0.994845	0.000229	S-adenosylmethionine synthetase
COG0193	Pth	1	0.973684	0.000224	Peptidyl-tRNA hydrolase
COG0194	Gmk	1	0.984293	0.000226	Guanylate kinase
COG0195	NusA	1	1	0.00023	Transcription elongation factor
COG0196	RibF	1	0.970394	0.000223	FAD synthase
COG0197	RplP	1	0.965753	0.000222	Ribosomal protein L16/L10E
COG0198	RplX	1	1	0.00023	Ribosomal protein L24
COG0199	RpsN	1	0.983606	0.000226	Ribosomal protein S14
COG0200	RplO	1	0.993421	0.000228	Ribosomal protein L15
COG0201	SecY	1	0.972477	0.000224	Preprotein translocase subunit SecY
COG0202	RpoA	1	1	0.00023	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
COG0203	RplQ	1	1	0.00023	Ribosomal protein L17
COG0204	PlsC	5	4.17647	0.000962	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0205	PfkA	1	0.997118	0.000229	6-phosphofructokinase
COG0206	FtsZ	1	0.928994	0.000214	Cell division GTPase
COG0209	NrdA	2	1.811059	0.000417	Ribonucleotide reductase, alpha subunit
COG0210	UvrD	4	2.789312	0.000642	Superfamily I DNA and RNA helicases
COG0211	RpmA	1	0.977011	0.000225	Ribosomal protein L27
COG0212	COG0212	1	0.91623	0.000211	5-formyltetrahydrofolate cyclo-ligase
COG0213	DeoA	1	0.997701	0.000229	Thymidine phosphorylase
COG0215	CysS	1	0.995689	0.000229	Cysteinyl-tRNA synthetase
COG0216	PrfA	1	0.986225	0.000227	Protein chain release factor A
COG0217	COG0217	1	1	0.00023	Uncharacterized conserved protein
COG0218	COG0218	1	0.97	0.000223	Predicted GTPase
COG0219	CspR	1	0.948387	0.000218	Predicted rRNA methylase (SpoU class)
COG0220	COG0220	1	0.986784	0.000227	Predicted S-adenosylmethionine-dependent methyltransferase
COG0221	Ppa	1	0.988304	0.000227	Inorganic pyrophosphatase
COG0222	RplL	1	0.991935	0.000228	Ribosomal protein L7/L12
COG0223	Fmt	1	1	0.00023	Methionyl-tRNA formyltransferase
COG0224	AtpG	1	0.996515	0.000229	F0F1-type ATP synthase, gamma subunit
COG0225	MsrA	1	0.977011	0.000225	Peptide methionine sulfoxide reductase
COG0226	PstS	1	0.871069	0.0002	ABC-type phosphate transport system, periplasmic component
COG0227	RpmB	1	0.948051	0.000218	Ribosomal protein L28
COG0228	RpsP	1	0.942528	0.000217	Ribosomal protein S16
COG0229	COG0229	1	0.964285	0.000222	Conserved domain frequently associated with peptide methionine sulfoxide reductase
COG0230	RpmH	1	1	0.00023	Ribosomal protein L34
COG0231	Efp	1	0.992366	0.000228	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0232	Dgt	1	0.985436	0.000227	dGTP triphosphohydrolase
COG0233	Frr	1	0.925133	0.000213	Ribosome recycling factor
COG0234	GroS	1	1	0.00023	Co-chaperonin GroES (HSP10)
COG0235	AraD	2	1.858447	0.000428	Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
COG0236	AcpP	7	6.437499	0.001483	Acyl carrier protein
COG0237	CoaE	1	0.995024	0.000229	Dephospho-CoA kinase
COG0238	RpsR	1	0.8	0.000184	Ribosomal protein S18
COG0239	CrcB	1	0.880952	0.000203	Integral membrane protein possibly involved in chromosome condensation
COG0240	GpsA	1	0.99392	0.000229	Glycerol-3-phosphate dehydrogenase
COG0241	HisB	1	0.767955	0.000177	Histidinol phosphatase and related phosphatases
COG0242	Def	2	1.922619	0.000443	N-formylmethionyl-tRNA deformylase
COG0243	BisC	10	9.545098	0.002199	Anaerobic dehydrogenases, typically selenocysteine-containing
COG0244	RplJ	1	0.988571	0.000227	Ribosomal protein L10
COG0245	IspF	1	0.974842	0.000224	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
COG0246	MtlD	3	2.919661	0.000672	Mannitol-1-phosphate/altronate dehydrogenases
COG0247	GlpC	4	3.136597	0.000722	Fe-S oxidoreductase
COG0248	GppA	2	1.571138	0.000362	Exopolyphosphatase
COG0249	MutS	1	0.991696	0.000228	Mismatch repair ATPase (MutS family)
COG0250	NusG	1	0.994382	0.000229	Transcription antiterminator
COG0251	TdcF	6	5.653846	0.001303	Putative translation initiation inhibitor, yjgF family
COG0253	DapF	1	0.996323	0.000229	Diaminopimelate epimerase
COG0254	RpmE	1	0.986666	0.000227	Ribosomal protein L31
COG0255	RpmC	1	0.956521	0.00022	Ribosomal protein L29
COG0256	RplR	1	0.968	0.000223	Ribosomal protein L18
COG0257	RpmJ	1	0.868421	0.0002	Ribosomal protein L36
COG0258	Exo	1	0.941935	0.000217	5'-3' exonuclease (including N-terminal domain of PolI)
COG0259	PdxH	1	0.883177	0.000203	Pyridoxamine-phosphate oxidase
COG0260	PepB	2	1.952577	0.00045	Leucyl aminopeptidase
COG0261	RplU	1	1	0.00023	Ribosomal protein L21
COG0262	FolA	1	1	0.00023	Dihydrofolate reductase
COG0263	ProB	1	0.991869	0.000228	Glutamate 5-kinase
COG0264	Tsf	1	0.966216	0.000222	Translation elongation factor Ts
COG0265	DegQ	9	6.593659	0.001519	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0266	Nei	1	1	0.00023	Formamidopyrimidine-DNA glycosylase
COG0267	RpmG	1	0.94	0.000216	Ribosomal protein L33
COG0268	RpsT	1	0.977272	0.000225	Ribosomal protein S20
COG0271	BolA	2	1.855555	0.000427	Stress-induced morphogen (activity unknown)
COG0272	Lig	1	0.973013	0.000224	NAD-dependent DNA ligase (contains BRCT domain type II)
COG0274	DeoC	1	0.921052	0.000212	Deoxyribose-phosphate aldolase
COG0275	COG0275	1	0.945859	0.000218	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis
COG0276	HemH	1	0.9875	0.000227	Protoheme ferro-lyase (ferrochelatase)
COG0277	GlcD	7	6.845315	0.001577	FAD/FMN-containing dehydrogenases
COG0278	COG0278	1	0.971428	0.000223	Glutaredoxin-related protein
COG0279	GmhA	1	0.97159	0.000223	Phosphoheptose isomerase
COG0280	Pta	6	5.522935	0.001272	Phosphotransacetylase
COG0281	SfcA	2	1.935185	0.000446	Malic enzyme
COG0282	ackA	3	2.962121	0.000682	Acetate kinase
COG0283	Cmk	1	0.9009	0.000207	Cytidylate kinase
COG0284	PyrF	1	0.925	0.000213	Orotidine-5'-phosphate decarboxylase
COG0285	FolC	1	0.98829	0.000227	Folylpolyglutamate synthase
COG0286	HsdM	3	2.394683	0.000551	Type I restriction-modification system methyltransferase subunit
COG0287	TyrA	1	1	0.00023	Prephenate dehydrogenase
COG0288	CynT	1	0.980676	0.000226	Carbonic anhydrase
COG0289	DapB	1	0.992481	0.000228	Dihydrodipicolinate reductase
COG0290	InfC	1	0.960227	0.000221	Translation initiation factor 3 (IF-3)
COG0291	RpmI	1	1	0.00023	Ribosomal protein L35
COG0292	RplT	1	0.949152	0.000218	Ribosomal protein L20
COG0293	FtsJ	1	0.990243	0.000228	23S rRNA methylase
COG0294	FolP	2	1.854014	0.000427	Dihydropteroate synthase and related enzymes
COG0295	Cdd	1	0.858208	0.000197	Cytidine deaminase
COG0296	GlgB	3	2.762738	0.000636	1,4-alpha-glucan branching enzyme
COG0297	GlgA	1	0.983572	0.000226	Glycogen synthase
COG0298	HypC	2	1.804878	0.000415	Hydrogenase maturation factor
COG0299	PurN	1	1	0.00023	Folate-dependent phosphoribosylglycinamide formyltransferase PurN
COG0300	DltE	5	4.716981	0.001087	Short-chain dehydrogenases of various substrate specificities
COG0302	FolE	2	1.882051	0.000433	GTP cyclohydrolase I
COG0303	MoeA	6	5.710396	0.001316	Molybdopterin biosynthesis enzyme
COG0304	FabB	5	4.975728	0.001146	3-oxoacyl-(acyl-carrier-protein) synthase
COG0305	DnaB	1	0.997701	0.000229	Replicative DNA helicase
COG0306	PitA	1	0.993865	0.000229	Phosphate/sulphate permeases
COG0307	RibC	1	0.95098	0.000219	Riboflavin synthase alpha chain
COG0308	PepN	2	1.657741	0.000382	Aminopeptidase N
COG0309	HypE	1	0.9882	0.000227	Hydrogenase maturation factor
COG0312	TldD	2	1.964757	0.000452	Predicted Zn-dependent proteases and their inactivated homologs
COG0313	COG0313	1	0.963636	0.000222	Predicted methyltransferases
COG0314	MoaE	1	0.90604	0.000208	Molybdopterin converting factor, large subunit
COG0315	MoaC	1	0.980891	0.000226	Molybdenum cofactor biosynthesis enzyme
COG0316	sufA	3	2.881818	0.000664	Fe-S cluster assembly scaffold protein
COG0317	SpoT	2	1.196861	0.000275	Guanosine polyphosphate pyrophosphohydrolases/synthetases
COG0318	CaiC	12	11.297752	0.002603	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
COG0319	COG0319	1	0.96732	0.000222	Predicted metal-dependent hydrolase
COG0320	LipA	2	1.905228	0.000439	Lipoate synthase
COG0321	LipB	1	0.909502	0.000209	Lipoate-protein ligase B
COG0322	UvrC	2	1.993115	0.000459	Nuclease subunit of the excinuclease complex
COG0323	MutL	1	1	0.00023	DNA mismatch repair enzyme (predicted ATPase)
COG0324	MiaA	1	0.912337	0.00021	tRNA delta(2)-isopentenylpyrophosphate transferase
COG0325	COG0325	1	0.995614	0.000229	Predicted enzyme with a TIM-barrel fold
COG0326	HtpG	1	0.998394	0.00023	Molecular chaperone, HSP90 family
COG0328	RnhA	2	1.428571	0.000329	Ribonuclease HI
COG0329	DapA	3	2.939799	0.000677	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG0330	HflC	5	4.835051	0.001114	Membrane protease subunits, stomatin/prohibitin homologs
COG0331	FabD	1	0.996774	0.000229	(acyl-carrier-protein) S-malonyltransferase
COG0332	FabH	3	2.950464	0.00068	3-oxoacyl-[acyl-carrier-protein].
COG0333	RpmF	1	0.964912	0.000222	Ribosomal protein L32
COG0334	GdhA	2	1.914841	0.000441	Glutamate dehydrogenase/leucine dehydrogenase
COG0335	RplS	1	0.973913	0.000224	Ribosomal protein L19
COG0336	TrmD	1	0.929166	0.000214	tRNA-(guanine-N1)-methyltransferase
COG0337	AroB	1	0.986111	0.000227	3-dehydroquinate synthetase
COG0339	Dcp	1	0.994143	0.000229	Zn-dependent oligopeptidases
COG0340	BirA	2	1.731092	0.000398	Biotin-(acetyl-CoA carboxylase) ligase
COG0341	SecF	1	0.970491	0.000223	Preprotein translocase subunit SecF
COG0342	SecD	1	1	0.00023	Preprotein translocase subunit SecD
COG0343	Tgt	1	0.973118	0.000224	Queuine/archaeosine tRNA-ribosyltransferase
COG0344	COG0344	1	0.985	0.000227	Predicted membrane protein
COG0345	ProC	2	1.981203	0.000456	Pyrroline-5-carboxylate reductase
COG0346	GloA	5	4.847826	0.001117	Lactoylglutathione lyase and related lyases
COG0347	GlnK	2	2	0.00046	Nitrogen regulatory protein PII
COG0348	NapH	6	5.303108	0.001222	Polyferredoxin
COG0349	Rnd	3	1.722991	0.000397	Ribonuclease D
COG0350	Ada	2	1.946428	0.000448	Methylated DNA-protein cysteine methyltransferase
COG0351	ThiD	1	0.923954	0.000212	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	ThiE	2	1.786729	0.000411	Thiamine monophosphate synthase
COG0353	RecR	1	0.994949	0.000229	Recombinational DNA repair protein (RecF pathway)
COG0354	COG0354	1	0.940983	0.000216	Predicted aminomethyltransferase related to GcvT
COG0355	AtpC	1	0.933333	0.000215	F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)
COG0356	AtpB	1	0.983739	0.000226	F0F1-type ATP synthase, subunit a
COG0357	GidB	1	0.818604	0.000188	Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
COG0358	DnaG	1	0.883802	0.000203	DNA primase (bacterial type)
COG0359	RplI	1	1	0.00023	Ribosomal protein L9
COG0360	RpsF	1	0.9375	0.000216	Ribosomal protein S6
COG0361	InfA	1	0.96	0.000221	Translation initiation factor 1 (IF-1)
COG0362	Gnd	1	0.9852	0.000227	6-phosphogluconate dehydrogenase
COG0365	Acs	8	7.386363	0.001702	Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases
COG0366	AmyA	6	5.182178	0.001194	Glycosidases
COG0367	AsnB	4	3.776752	0.00087	Asparagine synthase (glutamine-hydrolyzing)
COG0368	CobS	1	0.979674	0.000225	Cobalamin-5-phosphate synthase
COG0370	FeoB	1	0.993874	0.000229	Fe2+ transport system protein B
COG0371	GldA	1	1	0.00023	Glycerol dehydrogenase and related enzymes
COG0372	GltA	2	2	0.00046	Citrate synthase
COG0373	HemA	1	0.997584	0.000229	Glutamyl-tRNA reductase
COG0374	HyaB	2	1.33211	0.000307	Ni,Fe-hydrogenase I large subunit
COG0375	HybF	1	0.982608	0.000226	Zn finger protein HypA/HybF (possibly regulating hydrogenase expression)
COG0377	NuoB	1	0.865979	0.000199	NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases
COG0378	HypB	2	1.930693	0.000444	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase
COG0379	NadA	1	0.972222	0.000224	Quinolinate synthase
COG0380	OtsA	1	0.962962	0.000221	Trehalose-6-phosphate synthase
COG0382	UbiA	1	0.993079	0.000228	4-hydroxybenzoate polyprenyltransferase and related prenyltransferases
COG0384	COG0384	1	0.996563	0.000229	Predicted epimerase, PhzC/PhzF homolog
COG0386	BtuE	1	0.962962	0.000221	Glutathione peroxidase
COG0388	COG0388	6	5.503649	0.001268	Predicted amidohydrolase
